time,age,gender,Death,Living_with_Diagnosis_Early_Years
694224000922-725846400921,0-12,M,0.1400,0.8600
694224000922-725846400921,0-12,F,0.1400,0.8600
694224000922-725846400921,13-150,M,0.2784,0.7216
694224000922-725846400921,13-150,F,0.2713,0.7287
725846400922-757382400921,0-12,M,0.1520,0.8480
725846400922-757382400921,0-12,F,0.1520,0.8480
725846400922-757382400921,13-150,M,0.1863,0.8137
725846400922-757382400921,13-150,F,0.1652,0.8348
757382400922-788918400921,0-12,M,0.1503,0.8497
757382400922-788918400921,0-12,F,0.1503,0.8497
757382400922-788918400921,13-150,M,0.2055,0.7945
757382400922-788918400921,13-150,F,0.1855,0.8145
788918400922-820454400921,0-12,M,0.1367,0.8633
788918400922-820454400921,0-12,F,0.1367,0.8633
788918400922-820454400921,13-24,M,0.0984,0.9016
788918400922-820454400921,13-24,F,0.1008,0.8992
788918400922-820454400921,25-29,M,0.1393,0.8607
788918400922-820454400921,25-29,F,0.1353,0.8647
788918400922-820454400921,30-34,M,0.1747,0.8253
788918400922-820454400921,30-34,F,0.1619,0.8381
788918400922-820454400921,35-39,M,0.1977,0.8023
788918400922-820454400921,35-39,F,0.1749,0.8251
788918400922-820454400921,40-44,M,0.2103,0.7897
788918400922-820454400921,40-44,F,0.1975,0.8025
788918400922-820454400921,45-49,M,0.2283,0.7717
788918400922-820454400921,45-49,F,0.2300,0.7700
788918400922-820454400921,50-54,M,0.2444,0.7556
788918400922-820454400921,50-54,F,0.2224,0.7776
788918400922-820454400921,55-59,M,0.2726,0.7274
788918400922-820454400921,55-59,F,0.2764,0.7236
788918400922-820454400921,60-64,M,0.2875,0.7125
788918400922-820454400921,60-64,F,0.2576,0.7424
788918400922-820454400921,65-69,M,0.3441,0.6559
788918400922-820454400921,65-69,F,0.3167,0.6833
788918400922-820454400921,70-150,M,0.3718,0.6282
788918400922-820454400921,70-150,F,0.3710,0.6290
820454400922-852076800921,0-12,M,0.1084,0.8916
820454400922-852076800921,0-12,F,0.1084,0.8916
820454400922-852076800921,13-24,M,0.0646,0.9354
820454400922-852076800921,13-24,F,0.0704,0.9296
820454400922-852076800921,25-29,M,0.0975,0.9025
820454400922-852076800921,25-29,F,0.0988,0.9012
820454400922-852076800921,30-34,M,0.1190,0.8810
820454400922-852076800921,30-34,F,0.1201,0.8799
820454400922-852076800921,35-39,M,0.1365,0.8635
820454400922-852076800921,35-39,F,0.1340,0.8660
820454400922-852076800921,40-44,M,0.1463,0.8537
820454400922-852076800921,40-44,F,0.1510,0.8490
820454400922-852076800921,45-49,M,0.1584,0.8416
820454400922-852076800921,45-49,F,0.1720,0.8280
820454400922-852076800921,50-54,M,0.1713,0.8287
820454400922-852076800921,50-54,F,0.1693,0.8307
820454400922-852076800921,55-59,M,0.1886,0.8114
820454400922-852076800921,55-59,F,0.1870,0.8130
820454400922-852076800921,60-64,M,0.2178,0.7822
820454400922-852076800921,60-64,F,0.2415,0.7585
820454400922-852076800921,65-69,M,0.2334,0.7666
820454400922-852076800921,65-69,F,0.2492,0.7508
820454400922-852076800921,70-150,M,0.3134,0.6866
820454400922-852076800921,70-150,F,0.2636,0.7364
852076800922-883612800921,0-12,M,0.0569,0.9431
852076800922-883612800921,0-12,F,0.0569,0.9431
852076800922-883612800921,13-24,M,0.0443,0.9557
852076800922-883612800921,13-24,F,0.0502,0.9498
852076800922-883612800921,25-29,M,0.0581,0.9419
852076800922-883612800921,25-29,F,0.0587,0.9413
852076800922-883612800921,30-34,M,0.0615,0.9385
852076800922-883612800921,30-34,F,0.0703,0.9297
852076800922-883612800921,35-39,M,0.0684,0.9316
852076800922-883612800921,35-39,F,0.0778,0.9222
852076800922-883612800921,40-44,M,0.0776,0.9224
852076800922-883612800921,40-44,F,0.0894,0.9106
852076800922-883612800921,45-49,M,0.0861,0.9139
852076800922-883612800921,45-49,F,0.1041,0.8959
852076800922-883612800921,50-54,M,0.0934,0.9066
852076800922-883612800921,50-54,F,0.1135,0.8865
852076800922-883612800921,55-59,M,0.1083,0.8917
852076800922-883612800921,55-59,F,0.1189,0.8811
852076800922-883612800921,60-64,M,0.1341,0.8659
852076800922-883612800921,60-64,F,0.1237,0.8763
852076800922-883612800921,65-69,M,0.1624,0.8376
852076800922-883612800921,65-69,F,0.1243,0.8757
852076800922-883612800921,70-150,M,0.1851,0.8149
852076800922-883612800921,70-150,F,0.2268,0.7732
883612800922-915148800921,0-12,M,0.0325,0.9675
883612800922-915148800921,0-12,F,0.0325,0.9675
883612800922-915148800921,13-24,M,0.0383,0.9617
883612800922-915148800921,13-24,F,0.0420,0.9580
883612800922-915148800921,25-29,M,0.0423,0.9577
883612800922-915148800921,25-29,F,0.0521,0.9479
883612800922-915148800921,30-34,M,0.0447,0.9553
883612800922-915148800921,30-34,F,0.0582,0.9418
883612800922-915148800921,35-39,M,0.0523,0.9477
883612800922-915148800921,35-39,F,0.0612,0.9388
883612800922-915148800921,40-44,M,0.0590,0.9410
883612800922-915148800921,40-44,F,0.0699,0.9301
883612800922-915148800921,45-49,M,0.0688,0.9312
883612800922-915148800921,45-49,F,0.0818,0.9182
883612800922-915148800921,50-54,M,0.0768,0.9232
883612800922-915148800921,50-54,F,0.0861,0.9139
883612800922-915148800921,55-59,M,0.0883,0.9117
883612800922-915148800921,55-59,F,0.1103,0.8897
883612800922-915148800921,60-64,M,0.1083,0.8917
883612800922-915148800921,60-64,F,0.1130,0.8870
883612800922-915148800921,65-69,M,0.1122,0.8878
883612800922-915148800921,65-69,F,0.1216,0.8784
883612800922-915148800921,70-150,M,0.1567,0.8433
883612800922-915148800921,70-150,F,0.1541,0.8459
915148800922-946684800921,0-12,M,0.0250,0.9750
915148800922-946684800921,0-12,F,0.0250,0.9750
915148800922-946684800921,13-24,M,0.0329,0.9671
915148800922-946684800921,13-24,F,0.0424,0.9576
915148800922-946684800921,25-29,M,0.0395,0.9605
915148800922-946684800921,25-29,F,0.0456,0.9544
915148800922-946684800921,30-34,M,0.0390,0.9610
915148800922-946684800921,30-34,F,0.0528,0.9472
915148800922-946684800921,35-39,M,0.0430,0.9570
915148800922-946684800921,35-39,F,0.0576,0.9424
915148800922-946684800921,40-44,M,0.0533,0.9467
915148800922-946684800921,40-44,F,0.0702,0.9298
915148800922-946684800921,45-49,M,0.0597,0.9403
915148800922-946684800921,45-49,F,0.0750,0.9250
915148800922-946684800921,50-54,M,0.0710,0.9290
915148800922-946684800921,50-54,F,0.0892,0.9108
915148800922-946684800921,55-59,M,0.0806,0.9194
915148800922-946684800921,55-59,F,0.0852,0.9148
915148800922-946684800921,60-64,M,0.0854,0.9146
915148800922-946684800921,60-64,F,0.1040,0.8960
915148800922-946684800921,65-69,M,0.1119,0.8881
915148800922-946684800921,65-69,F,0.1128,0.8872
915148800922-946684800921,70-150,M,0.1357,0.8643
915148800922-946684800921,70-150,F,0.1056,0.8944
946684800922-978307200921,0-12,M,0.0132,0.9868
946684800922-978307200921,0-12,F,0.0132,0.9868
946684800922-978307200921,13-24,M,0.0313,0.9687
946684800922-978307200921,13-24,F,0.0285,0.9715
946684800922-978307200921,25-29,M,0.0311,0.9689
946684800922-978307200921,25-29,F,0.0457,0.9543
946684800922-978307200921,30-34,M,0.0360,0.9640
946684800922-978307200921,30-34,F,0.0478,0.9522
946684800922-978307200921,35-39,M,0.0374,0.9626
946684800922-978307200921,35-39,F,0.0503,0.9497
946684800922-978307200921,40-44,M,0.0416,0.9584
946684800922-978307200921,40-44,F,0.0564,0.9436
946684800922-978307200921,45-49,M,0.0515,0.9485
946684800922-978307200921,45-49,F,0.0651,0.9349
946684800922-978307200921,50-54,M,0.0609,0.9391
946684800922-978307200921,50-54,F,0.0685,0.9315
946684800922-978307200921,55-59,M,0.0622,0.9378
946684800922-978307200921,55-59,F,0.0773,0.9227
946684800922-978307200921,60-64,M,0.0803,0.9197
946684800922-978307200921,60-64,F,0.0859,0.9141
946684800922-978307200921,65-69,M,0.0865,0.9135
946684800922-978307200921,65-69,F,0.0939,0.9061
946684800922-978307200921,70-150,M,0.1252,0.8748
946684800922-978307200921,70-150,F,0.1273,0.8727
978307200922-1009843200921,0-12,M,0.0162,0.9838
978307200922-1009843200921,0-12,F,0.0162,0.9838
978307200922-1009843200921,13-24,M,0.0390,0.9610
978307200922-1009843200921,13-24,F,0.0537,0.9463
978307200922-1009843200921,25-34,M,0.0372,0.9628
978307200922-1009843200921,25-34,F,0.0441,0.9559
978307200922-1009843200921,35-44,M,0.0427,0.9573
978307200922-1009843200921,35-44,F,0.0566,0.9434
978307200922-1009843200921,45-54,M,0.0570,0.9430
978307200922-1009843200921,45-54,F,0.0668,0.9332
978307200922-1009843200921,55-150,M,0.0814,0.9186
978307200922-1009843200921,55-150,F,0.0965,0.9035
1009843200922-1041379200921,0-12,M,0.0129,0.9871
1009843200922-1041379200921,0-12,F,0.0129,0.9871
1009843200922-1041379200921,13-24,M,0.0241,0.9759
1009843200922-1041379200921,13-24,F,0.0317,0.9683
1009843200922-1041379200921,25-34,M,0.0344,0.9656
1009843200922-1041379200921,25-34,F,0.0439,0.9561
1009843200922-1041379200921,35-44,M,0.0430,0.9570
1009843200922-1041379200921,35-44,F,0.0559,0.9441
1009843200922-1041379200921,45-54,M,0.0606,0.9394
1009843200922-1041379200921,45-54,F,0.0728,0.9272
1009843200922-1041379200921,55-150,M,0.0852,0.9148
1009843200922-1041379200921,55-150,F,0.0915,0.9085
1041379200922-1072915200921,0-12,M,0.0095,0.9905
1041379200922-1072915200921,0-12,F,0.0095,0.9905
1041379200922-1072915200921,13-24,M,0.0247,0.9753
1041379200922-1072915200921,13-24,F,0.0297,0.9703
1041379200922-1072915200921,25-34,M,0.0328,0.9672
1041379200922-1072915200921,25-34,F,0.0390,0.9610
1041379200922-1072915200921,35-44,M,0.0402,0.9598
1041379200922-1072915200921,35-44,F,0.0526,0.9474
1041379200922-1072915200921,45-54,M,0.0548,0.9452
1041379200922-1072915200921,45-54,F,0.0635,0.9365
1041379200922-1072915200921,55-150,M,0.0827,0.9173
1041379200922-1072915200921,55-150,F,0.0863,0.9137
1072915200922-1104537600921,0-12,M,0.0071,0.9929
1072915200922-1104537600921,0-12,F,0.0071,0.9929
1072915200922-1104537600921,13-24,M,0.0258,0.9742
1072915200922-1104537600921,13-24,F,0.0262,0.9738
1072915200922-1104537600921,25-34,M,0.0294,0.9706
1072915200922-1104537600921,25-34,F,0.0376,0.9624
1072915200922-1104537600921,35-44,M,0.0365,0.9635
1072915200922-1104537600921,35-44,F,0.0485,0.9515
1072915200922-1104537600921,45-54,M,0.0503,0.9497
1072915200922-1104537600921,45-54,F,0.0627,0.9373
1072915200922-1104537600921,55-150,M,0.0736,0.9264
1072915200922-1104537600921,55-150,F,0.0790,0.9210
1104537600922-1136073600921,0-12,M,0.0039,0.9961
1104537600922-1136073600921,0-12,F,0.0039,0.9961
1104537600922-1136073600921,13-24,M,0.0192,0.9808
1104537600922-1136073600921,13-24,F,0.0217,0.9783
1104537600922-1136073600921,25-34,M,0.0283,0.9717
1104537600922-1136073600921,25-34,F,0.0364,0.9636
1104537600922-1136073600921,35-44,M,0.0339,0.9661
1104537600922-1136073600921,35-44,F,0.0431,0.9569
1104537600922-1136073600921,45-54,M,0.0473,0.9527
1104537600922-1136073600921,45-54,F,0.0552,0.9448
1104537600922-1136073600921,55-150,M,0.0696,0.9304
1104537600922-1136073600921,55-150,F,0.0695,0.9305
1136073600922-1167609600921,0-12,M,0.0034,0.9966
1136073600922-1167609600921,0-12,F,0.0034,0.9966
1136073600922-1167609600921,13-24,M,0.0224,0.9776
1136073600922-1167609600921,13-24,F,0.0246,0.9754
1136073600922-1167609600921,25-34,M,0.0268,0.9732
1136073600922-1167609600921,25-34,F,0.0336,0.9664
1136073600922-1167609600921,35-44,M,0.0308,0.9692
1136073600922-1167609600921,35-44,F,0.0417,0.9583
1136073600922-1167609600921,45-54,M,0.0429,0.9571
1136073600922-1167609600921,45-54,F,0.0523,0.9477
1136073600922-1167609600921,55-150,M,0.0637,0.9363
1136073600922-1167609600921,55-150,F,0.0682,0.9318
1167609600922-1199145600921,0-12,M,0.0064,0.9936
1167609600922-1199145600921,0-12,F,0.0064,0.9936
1167609600922-1199145600921,13-24,M,0.0172,0.9828
1167609600922-1199145600921,13-24,F,0.0224,0.9776
1167609600922-1199145600921,25-34,M,0.0245,0.9755
1167609600922-1199145600921,25-34,F,0.0330,0.9670
1167609600922-1199145600921,35-44,M,0.0286,0.9714
1167609600922-1199145600921,35-44,F,0.0378,0.9622
1167609600922-1199145600921,45-54,M,0.0380,0.9620
1167609600922-1199145600921,45-54,F,0.0484,0.9516
1167609600922-1199145600921,55-150,M,0.0572,0.9428
1167609600922-1199145600921,55-150,F,0.0585,0.9415
1199145600922-1230768000921,0-12,M,0.0051,0.9949
1199145600922-1230768000921,0-12,F,0.0051,0.9949
1199145600922-1230768000921,13-24,M,0.0141,0.9859
1199145600922-1230768000921,13-24,F,0.0211,0.9789
1199145600922-1230768000921,25-34,M,0.0227,0.9773
1199145600922-1230768000921,25-34,F,0.0283,0.9717
1199145600922-1230768000921,35-44,M,0.0240,0.9760
1199145600922-1230768000921,35-44,F,0.0328,0.9672
1199145600922-1230768000921,45-54,M,0.0333,0.9667
1199145600922-1230768000921,45-54,F,0.0413,0.9587
1199145600922-1230768000921,55-150,M,0.0558,0.9442
1199145600922-1230768000921,55-150,F,0.0608,0.9392
1230768000922-1262304000921,0-12,M,0.0082,0.9918
1230768000922-1262304000921,0-12,F,0.0082,0.9918
1230768000922-1262304000921,13-24,M,0.0132,0.9868
1230768000922-1262304000921,13-24,F,0.0177,0.9823
1230768000922-1262304000921,25-34,M,0.0215,0.9785
1230768000922-1262304000921,25-34,F,0.0261,0.9739
1230768000922-1262304000921,35-44,M,0.0221,0.9779
1230768000922-1262304000921,35-44,F,0.0293,0.9707
1230768000922-1262304000921,45-54,M,0.0301,0.9699
1230768000922-1262304000921,45-54,F,0.0383,0.9617
1230768000922-1262304000921,55-150,M,0.0527,0.9473
1230768000922-1262304000921,55-150,F,0.0540,0.9460
1262304000922-1293840000921,0-12,M,0.0000,1.0000
1262304000922-1293840000921,0-12,F,0.0000,1.0000
1262304000922-1293840000921,13-24,M,0.0134,0.9866
1262304000922-1293840000921,13-24,F,0.0159,0.9841
1262304000922-1293840000921,25-34,M,0.0178,0.9822
1262304000922-1293840000921,25-34,F,0.0221,0.9779
1262304000922-1293840000921,35-44,M,0.0188,0.9812
1262304000922-1293840000921,35-44,F,0.0247,0.9753
1262304000922-1293840000921,45-54,M,0.0271,0.9729
1262304000922-1293840000921,45-54,F,0.0326,0.9674
1262304000922-1293840000921,55-150,M,0.0474,0.9526
1262304000922-1293840000921,55-150,F,0.0487,0.9513
1293840000922-1325376000921,0-12,M,0.0000,1.0000
1293840000922-1325376000921,0-12,F,0.0000,1.0000
1293840000922-1325376000921,13-24,M,0.0122,0.9878
1293840000922-1325376000921,13-24,F,0.0157,0.9843
1293840000922-1325376000921,25-34,M,0.0156,0.9844
1293840000922-1325376000921,25-34,F,0.0222,0.9778
1293840000922-1325376000921,35-44,M,0.0175,0.9825
1293840000922-1325376000921,35-44,F,0.0237,0.9763
1293840000922-1325376000921,45-54,M,0.0251,0.9749
1293840000922-1325376000921,45-54,F,0.0288,0.9712
1293840000922-1325376000921,55-150,M,0.0439,0.9561
1293840000922-1325376000921,55-150,F,0.0474,0.9526
1325376000922-1356998400921,0-12,M,0.0025,0.9975
1325376000922-1356998400921,0-12,F,0.0025,0.9975
1325376000922-1356998400921,13-24,M,0.0106,0.9894
1325376000922-1356998400921,13-24,F,0.0129,0.9871
1325376000922-1356998400921,25-34,M,0.0167,0.9833
1325376000922-1356998400921,25-34,F,0.0199,0.9801
1325376000922-1356998400921,35-44,M,0.0160,0.9840
1325376000922-1356998400921,35-44,F,0.0224,0.9776
1325376000922-1356998400921,45-54,M,0.0232,0.9768
1325376000922-1356998400921,45-54,F,0.0277,0.9723
1325376000922-1356998400921,55-150,M,0.0414,0.9586
1325376000922-1356998400921,55-150,F,0.0431,0.9569
1356998400922-1388534400921,0-12,M,0.0030,0.9970
1356998400922-1388534400921,0-12,F,0.0030,0.9970
1356998400922-1388534400921,13-24,M,0.0096,0.9904
1356998400922-1388534400921,13-24,F,0.0112,0.9888
1356998400922-1388534400921,25-34,M,0.0154,0.9846
1356998400922-1388534400921,25-34,F,0.0195,0.9805
1356998400922-1388534400921,35-44,M,0.0161,0.9839
1356998400922-1388534400921,35-44,F,0.0192,0.9808
1356998400922-1388534400921,45-54,M,0.0221,0.9779
1356998400922-1388534400921,45-54,F,0.0261,0.9739
1356998400922-1388534400921,55-150,M,0.0391,0.9609
1356998400922-1388534400921,55-150,F,0.0433,0.9567
1388534400922-1420070400921,0-12,M,0.0000,1.0000
1388534400922-1420070400921,0-12,F,0.0000,1.0000
1388534400922-1420070400921,13-24,M,0.0096,0.9904
1388534400922-1420070400921,13-24,F,0.0141,0.9859
1388534400922-1420070400921,25-34,M,0.0144,0.9856
1388534400922-1420070400921,25-34,F,0.0177,0.9823
1388534400922-1420070400921,35-44,M,0.0157,0.9843
1388534400922-1420070400921,35-44,F,0.0206,0.9794
1388534400922-1420070400921,45-54,M,0.0208,0.9792
1388534400922-1420070400921,45-54,F,0.0246,0.9754
1388534400922-1420070400921,55-150,M,0.0391,0.9609
1388534400922-1420070400921,55-150,F,0.0411,0.9589
1420070400922-1451606400921,0-12,M,0.0058,0.9942
1420070400922-1451606400921,0-12,F,0.0058,0.9942
1420070400922-1451606400921,13-24,M,0.0097,0.9903
1420070400922-1451606400921,13-24,F,0.0142,0.9858
1420070400922-1451606400921,25-34,M,0.0143,0.9857
1420070400922-1451606400921,25-34,F,0.0178,0.9822
1420070400922-1451606400921,35-44,M,0.0152,0.9848
1420070400922-1451606400921,35-44,F,0.0188,0.9812
1420070400922-1451606400921,45-54,M,0.0207,0.9793
1420070400922-1451606400921,45-54,F,0.0225,0.9775
1420070400922-1451606400921,55-150,M,0.0369,0.9631
1420070400922-1451606400921,55-150,F,0.0362,0.9638
1451606400922-1483228800921,0-12,M,0.0000,1.0000
1451606400922-1483228800921,0-12,F,0.0000,1.0000
1451606400922-1483228800921,13-24,M,0.0090,0.9910
1451606400922-1483228800921,13-24,F,0.0130,0.9870
1451606400922-1483228800921,25-34,M,0.0144,0.9856
1451606400922-1483228800921,25-34,F,0.0193,0.9807
1451606400922-1483228800921,35-44,M,0.0150,0.9850
1451606400922-1483228800921,35-44,F,0.0188,0.9812
1451606400922-1483228800921,45-54,M,0.0194,0.9806
1451606400922-1483228800921,45-54,F,0.0216,0.9784
1451606400922-1483228800921,55-150,M,0.0369,0.9631
1451606400922-1483228800921,55-150,F,0.0358,0.9642
1483228800922-1514764800921,0-12,M,0.0000,1.0000
1483228800922-1514764800921,0-12,F,0.0000,1.0000
1483228800922-1514764800921,13-24,M,0.0110,0.9890
1483228800922-1514764800921,13-24,F,0.0097,0.9903
1483228800922-1514764800921,25-34,M,0.0132,0.9868
1483228800922-1514764800921,25-34,F,0.0179,0.9821
1483228800922-1514764800921,35-44,M,0.0150,0.9850
1483228800922-1514764800921,35-44,F,0.0160,0.9840
1483228800922-1514764800921,45-54,M,0.0188,0.9812
1483228800922-1514764800921,45-54,F,0.0220,0.9780
1483228800922-1514764800921,55-150,M,0.0352,0.9648
1483228800922-1514764800921,55-150,F,0.0340,0.9660
1514764800922-1546300800921,0-12,M,0.0015,0.9985
1514764800922-1546300800921,0-12,F,0.0015,0.9985
1514764800922-1546300800921,13-24,M,0.0106,0.9894
1514764800922-1546300800921,13-24,F,0.0103,0.9897
1514764800922-1546300800921,25-34,M,0.0143,0.9857
1514764800922-1546300800921,25-34,F,0.0153,0.9847
1514764800922-1546300800921,35-44,M,0.0138,0.9862
1514764800922-1546300800921,35-44,F,0.0180,0.9820
1514764800922-1546300800921,45-54,M,0.0184,0.9816
1514764800922-1546300800921,45-54,F,0.0214,0.9786
1514764800922-1546300800921,55-150,M,0.0327,0.9673
1514764800922-1546300800921,55-150,F,0.0327,0.9673
1546300800922-1577836800921,13-24,M,0.0113,0.9887
1546300800922-1577836800921,13-24,F,0.0096,0.9904
1546300800922-1577836800921,25-34,M,0.0137,0.9863
1546300800922-1577836800921,25-34,F,0.0146,0.9854
1546300800922-1577836800921,35-44,M,0.0134,0.9866
1546300800922-1577836800921,35-44,F,0.0155,0.9845
1546300800922-1577836800921,45-54,M,0.0162,0.9838
1546300800922-1577836800921,45-54,F,0.0178,0.9822
1546300800922-1577836800921,55-150,M,0.0309,0.9691
1546300800922-1577836800921,55-150,F,0.0291,0.9709
