time,age,Continuous_ART,Non_Continuous_ART
0-1230768000921,13-24,0.234,0.766
0-1230768000921,25-34,0.284,0.716
0-1230768000921,35-44,0.351,0.649
0-1230768000921,45-54,0.392,0.608
0-1230768000921,55-150,0.411,0.589
1230768000922-1262304000921,13-24,0.297,0.703
1230768000922-1262304000921,25-34,0.358,0.642
1230768000922-1262304000921,35-44,0.423,0.577
1230768000922-1262304000921,45-54,0.462,0.538
1230768000922-1262304000921,55-150,0.485,0.515
1262304000922-1293840000921,13-24,0.337,0.663
1262304000922-1293840000921,25-34,0.397,0.603
1262304000922-1293840000921,35-44,0.454,0.546
1262304000922-1293840000921,45-54,0.497,0.503
1262304000922-1293840000921,55-150,0.513,0.487
1293840000922-1325376000921,13-24,0.337,0.663
1293840000922-1325376000921,25-34,0.397,0.603
1293840000922-1325376000921,35-44,0.454,0.546
1293840000922-1325376000921,45-54,0.497,0.503
1293840000922-1325376000921,55-150,0.513,0.487
1325376000922-1356998400921,13-24,0.437,0.563
1325376000922-1356998400921,25-34,0.486,0.514
1325376000922-1356998400921,35-44,0.529,0.471
1325376000922-1356998400921,45-54,0.575,0.425
1325376000922-1356998400921,55-150,0.583,0.417
1356998400922-1388534400921,13-24,0.481,0.519
1356998400922-1388534400921,25-34,0.523,0.477
1356998400922-1388534400921,35-44,0.562,0.438
1356998400922-1388534400921,45-54,0.604,0.396
1356998400922-1388534400921,55-150,0.611,0.389
1388534400922-1420070400921,13-24,0.512,0.488
1388534400922-1420070400921,25-34,0.542,0.458
1388534400922-1420070400921,35-44,0.577,0.423
1388534400922-1420070400921,45-54,0.624,0.376
1388534400922-1420070400921,55-150,0.628,0.372
1420070400922-1451606400921,13-24,0.538,0.462
1420070400922-1451606400921,25-34,0.566,0.434
1420070400922-1451606400921,35-44,0.591,0.409
1420070400922-1451606400921,45-54,0.638,0.362
1420070400922-1451606400921,55-150,0.642,0.358
1451606400922-1483228800921,13-24,0.538,0.462
1451606400922-1483228800921,25-34,0.566,0.434
1451606400922-1483228800921,35-44,0.591,0.409
1451606400922-1483228800921,45-54,0.638,0.362
1451606400922-1483228800921,55-150,0.642,0.358
1483228800922-1514764800921,13-24,0.603,0.397
1483228800922-1514764800921,25-34,0.608,0.392
1483228800922-1514764800921,35-44,0.624,0.376
1483228800922-1514764800921,45-54,0.662,0.338
1483228800922-1514764800921,55-150,0.67,0.33
1514764800922-1577836800921,13-24,0.633,0.367
1514764800922-1577836800921,25-34,0.626,0.374
1514764800922-1577836800921,35-44,0.633,0.367
1514764800922-1577836800921,45-54,0.666,0.334
1514764800922-1577836800921,55-150,0.673,0.327