age,gender,vhd_as_risk,Aortic Valve Stenosis,Check for AR Onset
0-4,M,true,0.000124,0.999876
5-9,M,true,0.000059,0.999941
10-14,M,true,0.000058,0.999942
15-19,M,true,0.000058,0.999942
20-24,M,true,0.000029,0.999971
25-29,M,true,0.000039,0.999961
30-34,M,true,0.000055,0.999945
35-39,M,true,0.000064,0.999936
40-44,M,true,0.000086,0.999914
45-49,M,true,0.000132,0.999868
50-54,M,true,0.000244,0.999756
55-59,M,true,0.000408,0.999592
60-64,M,true,0.000724,0.999276
65-69,M,true,0.001203,0.998797
70-74,M,true,0.002085,0.997915
75-79,M,true,0.003164,0.996836
80-84,M,true,0.004006,0.995994
85-140,M,true,0.003566,0.996434
0-4,F,true,0.000057,0.999943
5-9,F,true,0.000027,0.999973
10-14,F,true,0.000031,0.999969
15-19,F,true,0.000032,0.999968
20-24,F,true,0.000018,0.999982
25-29,F,true,0.000025,0.999975
30-34,F,true,0.000022,0.999978
35-39,F,true,0.000024,0.999976
40-44,F,true,0.000045,0.999955
45-49,F,true,0.000068,0.999932
50-54,F,true,0.000112,0.999888
55-59,F,true,0.000193,0.999807
60-64,F,true,0.000364,0.999636
65-69,F,true,0.000676,0.999324
70-74,F,true,0.001296,0.998704
75-79,F,true,0.002274,0.997726
80-84,F,true,0.003276,0.996724
85-140,F,true,0.003492,0.996508
0-140,M,false,0,1
0-140,F,false,0,1